Reporting_Month,Production_Reported,R_GPCD_Reported
2014-06-15,5449600000,91
2014-07-15,4441300000,93
2014-08-15,4440600000,88
2014-09-15,4095000000,83
2014-10-15,3837900000,72
2014-11-15,3871700000,59
2014-12-15,4877700000,54
2015-01-15,5646300000,54
2015-02-15,5916800000,56
2015-03-15,6459200000,59
2015-04-15,6317400000,62
2015-05-15,5880600000,64
2015-06-15,5203600000,67
2015-07-15,4465100000,70
2015-08-15,3950100000,71
2015-09-15,3535500000,69
2015-10-15,3859900000,63
2015-11-15,3905700000,53
2015-12-15,4671500000,48
2016-01-15,5592200000,47
2016-02-15,5870100000,47
2016-03-15,6361200000,49
2016-04-15,6377600000,55
2016-05-15,5866200000,66
2016-06-15,5416000000,75
2016-07-15,4184900000,81
2016-08-15,4006800000,80
2016-09-15,3925500000,75
2016-10-15,3881100000,63
2016-11-15,4258300000,52
2016-12-15,4229300000,52
2017-01-15,5703700000,47
2017-02-15,6039800000,47
2017-03-15,6444700000,49
2017-04-15,6531700000,56
2017-05-15,5952600000,70
2017-06-15,5551000000,81
2017-07-15,3958100000,87
2017-08-15,3884100000,86
2017-09-15,3403300000,82
2017-10-15,3747100000,71
2017-11-15,3767400000,59
2017-12-15,3839100000,53
2018-01-15,4689900000,51
2018-02-15,5636200000,51
2018-03-15,6007500000,51
2018-04-15,6056600000,57
2018-05-15,5675900000,69
2018-06-15,4959300000,79
2018-07-15,4018800000,85
2018-08-15,3765600000,83
2018-09-15,3625400000,80
2018-10-15,3736400000,71
2018-11-15,3713800000,60
2018-12-15,3875900000,52
2019-01-15,4881000000,49
2019-02-15,5060700000,48
2019-03-15,5250500000,50
2019-04-15,5148500000,57
2019-05-15,4778200000,67
2019-06-15,4657700000,75
2019-07-15,4456900000,81
2019-08-15,4650200000,82
2019-09-15,3765900000,79
2019-10-15,4096200000,72
2019-11-15,3771200000,63
2019-12-15,4103300000,54
2020-01-15,5222100000,53
2020-02-15,5485600000,59
2020-03-15,6020600000,60
2020-04-15,6177100000,63
2020-05-15,6354400000,73
