,PWSID,Reporting_Month,Production_Reported,Percent_Residential_Use,Population_Served,R_GPCD_Reported,Hydrologic_Region,County
0,CA0110005,2020-05-15,5449600000,60,1450000,73,San Francisco Bay,ALAMEDA
1,CA0110005,2020-04-15,4441300000,62,1450000,63,San Francisco Bay,ALAMEDA
2,CA0110005,2020-03-15,4440600000,61,1450000,60,San Francisco Bay,ALAMEDA
3,CA0110005,2020-02-15,4095000000,61,1450000,59,San Francisco Bay,ALAMEDA
4,CA0110005,2020-01-15,3837900000,62,1450000,53,San Francisco Bay,ALAMEDA
5,CA0110005,2019-12-15,3871700000,62,1440000,54,San Francisco Bay,ALAMEDA
6,CA0110005,2019-11-15,4877700000,56,1440000,63,San Francisco Bay,ALAMEDA
7,CA0110005,2019-10-15,5646300000,57,1440000,72,San Francisco Bay,ALAMEDA
8,CA0110005,2019-09-15,5916800000,57,1440000,79,San Francisco Bay,ALAMEDA
9,CA0110005,2019-08-15,6459200000,57,1440000,82,San Francisco Bay,ALAMEDA
10,CA0110005,2019-07-15,6317400000,57,1440000,81,San Francisco Bay,ALAMEDA
11,CA0110005,2019-06-15,5880600000,55,1440000,75,San Francisco Bay,ALAMEDA
12,CA0110005,2019-05-15,5203600000,57,1440000,67,San Francisco Bay,ALAMEDA
13,CA0110005,2019-04-15,4465100000,55,1440000,57,San Francisco Bay,ALAMEDA
14,CA0110005,2019-03-15,3950100000,56,1440000,50,San Francisco Bay,ALAMEDA
15,CA0110005,2019-02-15,3535500000,54,1440000,48,San Francisco Bay,ALAMEDA
16,CA0110005,2019-01-15,3859900000,56,1440000,49,San Francisco Bay,ALAMEDA
17,CA0110005,2018-12-15,3905700000,59,1430000,52,San Francisco Bay,ALAMEDA
18,CA0110005,2018-11-15,4671500000,55,1430000,60,San Francisco Bay,ALAMEDA
19,CA0110005,2018-10-15,5592200000,57,1430000,71,San Francisco Bay,ALAMEDA
20,CA0110005,2018-09-15,5870100000,58,1430000,80,San Francisco Bay,ALAMEDA
21,CA0110005,2018-08-15,6361200000,58,1430000,83,San Francisco Bay,ALAMEDA
22,CA0110005,2018-07-15,6377600000,59,1430000,85,San Francisco Bay,ALAMEDA
23,CA0110005,2018-06-15,5866200000,57,1430000,79,San Francisco Bay,ALAMEDA
24,CA0110005,2018-05-15,5416000000,56,1430000,69,San Francisco Bay,ALAMEDA
25,CA0110005,2018-04-15,4184900000,58,1430000,57,San Francisco Bay,ALAMEDA
26,CA0110005,2018-03-15,4006800000,57,1430000,51,San Francisco Bay,ALAMEDA
27,CA0110005,2018-02-15,3925500000,52,1430000,51,San Francisco Bay,ALAMEDA
28,CA0110005,2018-01-15,3881100000,58,1430000,51,San Francisco Bay,ALAMEDA
29,CA0110005,2017-12-15,4258300000,55,1410000,53,San Francisco Bay,ALAMEDA
30,CA0110005,2017-11-15,4229300000,59,1410000,59,San Francisco Bay,ALAMEDA
31,CA0110005,2017-10-15,5703700000,55,1410000,71,San Francisco Bay,ALAMEDA
32,CA0110005,2017-09-15,6039800000,57,1410000,82,San Francisco Bay,ALAMEDA
33,CA0110005,2017-08-15,6444700000,58,1410000,86,San Francisco Bay,ALAMEDA
34,CA0110005,2017-07-15,6531700000,58,1410000,87,San Francisco Bay,ALAMEDA
35,CA0110005,2017-06-15,5952600000,57,1410000,81,San Francisco Bay,ALAMEDA
36,CA0110005,2017-05-15,5551000000,55,1410000,70,San Francisco Bay,ALAMEDA
37,CA0110005,2017-04-15,3958100000,60,1410000,56,San Francisco Bay,ALAMEDA
38,CA0110005,2017-03-15,3884100000,55,1410000,49,San Francisco Bay,ALAMEDA
39,CA0110005,2017-02-15,3403300000,54,1410000,47,San Francisco Bay,ALAMEDA
40,CA0110005,2017-01-15,3747100000,55,1410000,47,San Francisco Bay,ALAMEDA
41,CA0110005,2016-12-15,3767400000,55,1400000,52,San Francisco Bay,ALAMEDA
42,CA0110005,2016-11-15,3839100000,58,1400000,52,San Francisco Bay,ALAMEDA
43,CA0110005,2016-10-15,4689900000,58,1400000,63,San Francisco Bay,ALAMEDA
44,CA0110005,2016-09-15,5636200000,56,1400000,75,San Francisco Bay,ALAMEDA
45,CA0110005,2016-08-15,6007500000,58,1400000,80,San Francisco Bay,ALAMEDA
46,CA0110005,2016-07-15,6056600000,58,1400000,81,San Francisco Bay,ALAMEDA
47,CA0110005,2016-06-15,5675900000,56,1400000,75,San Francisco Bay,ALAMEDA
48,CA0110005,2016-05-15,4959300000,57,1400000,66,San Francisco Bay,ALAMEDA
49,CA0110005,2016-04-15,4018800000,57,1400000,55,San Francisco Bay,ALAMEDA
50,CA0110005,2016-03-15,3765600000,56,1400000,49,San Francisco Bay,ALAMEDA
51,CA0110005,2016-02-15,3625400000,53,1400000,47,San Francisco Bay,ALAMEDA
52,CA0110005,2016-01-15,3736400000,54,1400000,47,San Francisco Bay,ALAMEDA
53,CA0110005,2015-12-15,3713800000,56,1390000,48,San Francisco Bay,ALAMEDA
54,CA0110005,2015-11-15,3875900000,57,1390000,53,San Francisco Bay,ALAMEDA
55,CA0110005,2015-10-15,4881000000,55,1390000,63,San Francisco Bay,ALAMEDA
56,CA0110005,2015-09-15,5060700000,57,1390000,69,San Francisco Bay,ALAMEDA
57,CA0110005,2015-08-15,5250500000,58,1390000,71,San Francisco Bay,ALAMEDA
58,CA0110005,2015-07-15,5148500000,80,1390000,70,San Francisco Bay,ALAMEDA
59,CA0110005,2015-06-15,4778200000,74,1390000,67,San Francisco Bay,ALAMEDA
60,CA0110005,2015-05-15,4657700000,73,1390000,64,San Francisco Bay,ALAMEDA
61,CA0110005,2015-04-15,4456900000,68,1390000,62,San Francisco Bay,ALAMEDA
62,CA0110005,2015-03-15,4650200000,67,1390000,59,San Francisco Bay,ALAMEDA
63,CA0110005,2015-02-15,3765900000,58,1390000,56,San Francisco Bay,ALAMEDA
64,CA0110005,2015-01-15,4096200000,62,1390000,54,San Francisco Bay,ALAMEDA
65,CA0110005,2014-12-15,3771200000,61,1379000,54,San Francisco Bay,ALAMEDA
66,CA0110005,2014-11-15,4103300000,47,1379000,59,San Francisco Bay,ALAMEDA
67,CA0110005,2014-10-15,5222100000,59,1379000,72,San Francisco Bay,ALAMEDA
68,CA0110005,2014-09-15,5485600000,63,1379000,83,San Francisco Bay,ALAMEDA
69,CA0110005,2014-08-15,6020600000,62,1379000,88,San Francisco Bay,ALAMEDA
70,CA0110005,2014-07-15,6177100000,64,1379000,93,San Francisco Bay,ALAMEDA
71,CA0110005,2014-06-15,6354400000,59,1379000,91,San Francisco Bay,ALAMEDA
72,CA4010011,2020-05-15,27554380,79.19,10439,67.43,Central Coast,SAN LUIS OBISPO
73,CA4010011,2020-04-15,24179266,79.05,10439,61.03,Central Coast,SAN LUIS OBISPO
74,CA4010011,2020-03-15,21373570,69.08,10439,45.62,Central Coast,SAN LUIS OBISPO
75,CA4010011,2020-02-15,25961833,72.49,10439,62.17,Central Coast,SAN LUIS OBISPO
76,CA4010011,2020-01-15,24449059,71.93,10439,54.34,Central Coast,SAN LUIS OBISPO
77,CA4010011,2019-12-15,27264815,70.78,10439,59.64,Central Coast,SAN LUIS OBISPO
78,CA4010011,2019-11-15,30379650,68.6,10439,66.55,Central Coast,SAN LUIS OBISPO
79,CA4010011,2019-10-15,28876282,67.7,10439,60.41,Central Coast,SAN LUIS OBISPO
80,CA4010011,2019-09-15,30703156,68.87,10439,65.61,Central Coast,SAN LUIS OBISPO
81,CA4010011,2019-08-15,38470150,68.13,10439,70.77,Central Coast,SAN LUIS OBISPO
82,CA4010011,2019-07-15,29704576,69,10439,71.04,Central Coast,SAN LUIS OBISPO
83,CA4010011,2019-06-15,29279113,69.75,10439,65.11,Central Coast,SAN LUIS OBISPO
84,CA4010011,2019-05-15,27840167,69.06,10439,59.41,Central Coast,SAN LUIS OBISPO
85,CA4010011,2019-04-15,27308985,69.29,10503,60.06,Central Coast,SAN LUIS OBISPO
86,CA4010011,2019-03-15,23495366,71.9,10503,51.89,Central Coast,SAN LUIS OBISPO
87,CA4010011,2019-02-15,20884974,73.19,10503,51.98,Central Coast,SAN LUIS OBISPO
88,CA4010011,2019-01-15,23889505,69.64,10503,51.1,Central Coast,SAN LUIS OBISPO
89,CA4010011,2018-12-15,23715270,70.47,10503,51.33,Central Coast,SAN LUIS OBISPO
90,CA4010011,2018-11-15,29599645,68.25,10503,62.04,Central Coast,SAN LUIS OBISPO
91,CA4010011,2018-10-15,27369503,66.11,10503,57.42,Central Coast,SAN LUIS OBISPO
92,CA4010011,2018-09-15,27169488,64.9,10503,57.76,Central Coast,SAN LUIS OBISPO
93,CA4010011,2018-08-15,30419904,66.99,10503,62.59,Central Coast,SAN LUIS OBISPO
94,CA4010011,2018-07-15,31771008,68.3,10503,66.64,Central Coast,SAN LUIS OBISPO
95,CA4010011,2018-06-15,28408390,70.49,10284,64.91,Central Coast,SAN LUIS OBISPO
96,CA4010011,2018-05-15,27097595,70.31,10284,59.76,Central Coast,SAN LUIS OBISPO
97,CA4010011,2018-04-15,23529100,70.34,10284,57.48,Central Coast,SAN LUIS OBISPO
98,CA4010011,2018-03-15,23617122,70.02,10284,51.87,Central Coast,SAN LUIS OBISPO
99,CA4010011,2018-02-15,24648804,71,10284,54.9,Central Coast,SAN LUIS OBISPO
100,CA4010011,2018-01-15,26018454,70.34,10284,57.4,Central Coast,SAN LUIS OBISPO
101,CA4010011,2017-12-15,28257079,68.1,10284,66.45,Central Coast,SAN LUIS OBISPO
102,CA4010011,2017-11-15,27459086,73.2,10284,65.15,Central Coast,SAN LUIS OBISPO
103,CA4010011,2017-10-15,31108938,65,10284,63.43,Central Coast,SAN LUIS OBISPO
104,CA4010011,2017-09-15,30489707,66,10284,63.21,Central Coast,SAN LUIS OBISPO
105,CA4010011,2017-08-15,31917705,64.5,10284,66.6,Central Coast,SAN LUIS OBISPO
106,CA4010011,2017-07-15,34161476,65.06,10284,69.72,Central Coast,SAN LUIS OBISPO
107,CA4010011,2017-06-15,30551803,65.9,10284,63.15,Central Coast,SAN LUIS OBISPO
108,CA4010011,2017-05-15,27673511,69.02,10284,59.91,Central Coast,SAN LUIS OBISPO
109,CA4010011,2017-04-15,24978717,70.3,10284,56.91,Central Coast,SAN LUIS OBISPO
110,CA4010011,2017-03-15,24189276,71.44,10284,54.2,Central Coast,SAN LUIS OBISPO
111,CA4010011,2017-02-15,20460522,78,10284,55.56,Central Coast,SAN LUIS OBISPO
112,CA4010011,2017-01-15,23003451,70.8,10284,72.16,Central Coast,SAN LUIS OBISPO
113,CA4010011,2016-12-15,22579461,69.59,10284,49.29,Central Coast,SAN LUIS OBISPO
114,CA4010011,2016-11-15,25063428,67.55,10284,53.1,Central Coast,SAN LUIS OBISPO
115,CA4010011,2016-10-15,28539498,65.12,10608,10284,Central Coast,SAN LUIS OBISPO
116,CA4010011,2016-09-15,28777427,65.05,10284,60.67,Central Coast,SAN LUIS OBISPO
117,CA4010011,2016-08-15,30608028,65.24,10284,62.64,Central Coast,SAN LUIS OBISPO
118,CA4010011,2016-07-15,31975594,66.44,10284,66.63,Central Coast,SAN LUIS OBISPO
119,CA4010011,2016-06-15,29421802,66.45,10284,63.37,Central Coast,SAN LUIS OBISPO
120,CA4010011,2016-05-15,28468458,65.2,10284,58.2,Central Coast,SAN LUIS OBISPO
121,CA4010011,2016-04-15,25679413,67.4,10284,54.32,Central Coast,SAN LUIS OBISPO
122,CA4010011,2016-03-15,24876688,69,10284,53.81,Central Coast,SAN LUIS OBISPO
123,CA4010011,2016-02-15,23427690,70.72,10284,51.97,Central Coast,SAN LUIS OBISPO
124,CA4010011,2016-01-15,24343394,68.3,10284,52.15,Central Coast,SAN LUIS OBISPO
125,CA4010011,2015-12-15,25226154,67,10234,53.46,Central Coast,SAN LUIS OBISPO
126,CA4010011,2015-11-15,28815483,64.65,10234,60.68,Central Coast,SAN LUIS OBISPO
127,CA4010011,2015-10-15,29133677,64.6,10234,59.32,Central Coast,SAN LUIS OBISPO
128,CA4010011,2015-09-15,30354644,61.4,10234,60.7,Central Coast,SAN LUIS OBISPO
129,CA4010011,2015-08-15,32579005,62.5,10234,64.2,Central Coast,SAN LUIS OBISPO
130,CA4010011,2015-07-15,32318984,63.3,10234,64.5,Central Coast,SAN LUIS OBISPO
131,CA4010011,2015-06-15,32189607,63,10234,66,Central Coast,SAN LUIS OBISPO
